Expression	Value	Location	Type	
UserEQ	<array>	0x2000A280	EQ_STRUCT[8][8]	
b0L	Error (col 1): Unknown or ambiguous symbol. b0L			
b1L	Error (col 1): Unknown or ambiguous symbol. b1L			
b2L	Error (col 1): Unknown or ambiguous symbol. b2L			
a1L	Error (col 1): Unknown or ambiguous symbol. a1L			
a2L	Error (col 1): Unknown or ambiguous symbol. a2L			
bql	Error (col 1): Unknown or ambiguous symbol. bql			
gDATABUF	<array>	0x20009280	uint8_t[2][2048]	
[0]	<array>"KSM"	0x20009280	uint8_t[2048]	
[0]	0x4B	0x20009280	uint8_t	
[1]	0x53	0x20009281	uint8_t	
[2]	0x4D	0x20009282	uint8_t	
[3]	0x00	0x20009283	uint8_t	
[4]	0x46	0x20009284	uint8_t	
[5]	0x57	0x20009285	uint8_t	
[6]	0x44	0x20009286	uint8_t	
[7]	0x41	0x20009287	uint8_t	
[8]	0x54	0x20009288	uint8_t	
[9]	0x41	0x20009289	uint8_t	
[10]	0x00	0x2000928A	uint8_t	
[11]	0x30	0x2000928B	uint8_t	
[12]	0x2C	0x2000928C	uint8_t	
[13]	0x31	0x2000928D	uint8_t	
[14]	0x30	0x2000928E	uint8_t	
[15]	0x32	0x2000928F	uint8_t	
[16]	0x34	0x20009290	uint8_t	
[17]	0x2C	0x20009291	uint8_t	
[18]	0x38	0x20009292	uint8_t	
[19]	0x30	0x20009293	uint8_t	
[20]	0x34	0x20009294	uint8_t	
[21]	0x30	0x20009295	uint8_t	
[22]	0x38	0x20009296	uint8_t	
[23]	0x39	0x20009297	uint8_t	
[24]	0x39	0x20009298	uint8_t	
[25]	0x33	0x20009299	uint8_t	
[26]	0x32	0x2000929A	uint8_t	
[27]	0x00	0x2000929B	uint8_t	
[28]	0x78	0x2000929C	uint8_t	
[29]	0x12	0x2000929D	uint8_t	
[30]	0x00	0x2000929E	uint8_t	
[31]	0x20	0x2000929F	uint8_t	
[32]	0x11	0x200092A0	uint8_t	
[33]	0x68	0x200092A1	uint8_t	
[34]	0x01	0x200092A2	uint8_t	
[35]	0x08	0x200092A3	uint8_t	
[36]	0x51	0x200092A4	uint8_t	
[37]	0x65	0x200092A5	uint8_t	
[38]	0x01	0x200092A6	uint8_t	
[39]	0x08	0x200092A7	uint8_t	
[40]	0x53	0x200092A8	uint8_t	
[41]	0x65	0x200092A9	uint8_t	
[42]	0x01	0x200092AA	uint8_t	
[43]	0x08	0x200092AB	uint8_t	
[44]	0x5B	0x200092AC	uint8_t	
[45]	0x65	0x200092AD	uint8_t	
[46]	0x01	0x200092AE	uint8_t	
[47]	0x08	0x200092AF	uint8_t	
[48]	0x5D	0x200092B0	uint8_t	
[49]	0x65	0x200092B1	uint8_t	
[50]	0x01	0x200092B2	uint8_t	
[51]	0x08	0x200092B3	uint8_t	
[52]	0x5F	0x200092B4	uint8_t	
[53]	0x65	0x200092B5	uint8_t	
[54]	0x01	0x200092B6	uint8_t	
[55]	0x08	0x200092B7	uint8_t	
[56]	0x00	0x200092B8	uint8_t	
[57]	0x00	0x200092B9	uint8_t	
[58]	0x00	0x200092BA	uint8_t	
[59]	0x00	0x200092BB	uint8_t	
[60]	0x00	0x200092BC	uint8_t	
[61]	0x00	0x200092BD	uint8_t	
[62]	0x00	0x200092BE	uint8_t	
[63]	0x00	0x200092BF	uint8_t	
[64]	0x00	0x200092C0	uint8_t	
[65]	0x00	0x200092C1	uint8_t	
[66]	0x00	0x200092C2	uint8_t	
[67]	0x00	0x200092C3	uint8_t	
[68]	0x00	0x200092C4	uint8_t	
[69]	0x00	0x200092C5	uint8_t	
[70]	0x00	0x200092C6	uint8_t	
[71]	0x00	0x200092C7	uint8_t	
[72]	0x61	0x200092C8	uint8_t	
[73]	0x65	0x200092C9	uint8_t	
[74]	0x01	0x200092CA	uint8_t	
[75]	0x08	0x200092CB	uint8_t	
[76]	0x63	0x200092CC	uint8_t	
[77]	0x65	0x200092CD	uint8_t	
[78]	0x01	0x200092CE	uint8_t	
[79]	0x08	0x200092CF	uint8_t	
[80]	0x00	0x200092D0	uint8_t	
[81]	0x00	0x200092D1	uint8_t	
[82]	0x00	0x200092D2	uint8_t	
[83]	0x00	0x200092D3	uint8_t	
[84]	0x65	0x200092D4	uint8_t	
[85]	0x65	0x200092D5	uint8_t	
[86]	0x01	0x200092D6	uint8_t	
[87]	0x08	0x200092D7	uint8_t	
[88]	0x67	0x200092D8	uint8_t	
[89]	0x65	0x200092D9	uint8_t	
[90]	0x01	0x200092DA	uint8_t	
[91]	0x08	0x200092DB	uint8_t	
[92]	0xE1	0x200092DC	uint8_t	
[93]	0x68	0x200092DD	uint8_t	
[94]	0x01	0x200092DE	uint8_t	
